T[ms],AccX[mg],AccY[mg],AccZ[mg],GyroX[mdps],GyroY[mdps],GyroZ[mdps],MagX[mgauss],MagY[mgauss],MagZ[mgauss],P[mB],T[�C],
89136,-19,-7,-990,-1890,560,-70,-228,-577,116,1001.12,39.10
89145,-22,-3,-990,-1680,630,-70,-240,-577,119,1001.12,39.10
89176,-15,-11,-997,-910,2030,210,-236,-579,111,1001.12,39.10
89185,-19,-11,-997,-840,1890,420,-231,-574,119,1001.12,39.10
89216,-22,-7,-990,-560,2380,140,-231,-572,107,1001.19,39.10
89225,-26,-7,-994,-630,2590,-70,-229,-577,107,1001.19,39.10
89256,-34,-3,-1001,-1120,1890,0,-235,-573,112,1001.25,39.10
89265,-19,-3,-978,-1260,1470,70,-228,-576,119,1001.25,39.10
89296,-22,-7,-997,-1470,700,350,-231,-577,112,1001.22,39.10
89305,-26,-11,-990,-1470,840,420,-224,-569,111,1001.22,39.10
89336,-15,-3,-994,-1400,1260,-210,-225,-576,105,1001.18,39.10
89345,-19,-7,-990,-1400,1190,-70,-231,-573,105,1001.18,39.10
89376,-26,-11,-1001,-1120,1470,280,-229,-576,116,1001.27,39.10
89385,-26,-11,-1001,-1190,1260,350,-231,-572,109,1001.27,39.10
89416,-19,-7,-982,-1750,700,210,-231,-572,107,1001.17,39.10
89425,-19,-7,-982,-1820,700,70,-233,-583,101,1001.17,39.10
89456,-19,-7,-994,-1820,210,70,-236,-572,108,1001.10,39.10
89465,-22,-7,-994,-1610,560,70,-229,-573,101,1001.10,39.10
89496,-19,-11,-997,-1470,1120,210,-236,-576,119,1001.10,39.10
89505,-22,-3,-978,-1680,840,210,-232,-587,112,1001.17,39.10
89536,-22,-11,-994,-1750,770,280,-236,-583,105,1001.17,39.10
89545,-22,-7,-997,-1820,490,560,-235,-572,105,1001.11,39.10
89576,-22,0,-994,-1820,350,560,-228,-579,105,1001.11,39.10
89585,-26,-11,-1001,-1820,70,560,-225,-580,109,1001.23,39.10
89616,0,0,-994,-1610,980,490,-235,-583,123,1001.23,39.10
89625,-15,-3,-990,-1680,630,490,-228,-583,105,1001.26,39.10
89656,-30,-3,-1005,-1400,910,-210,-224,-580,111,1001.26,39.10
89665,-26,-7,-1001,-1330,910,-350,-229,-572,109,1001.18,39.10
89696,-26,-7,-997,-630,2170,-350,-232,-573,115,1001.18,39.10
89705,-15,-3,-994,-490,2590,-490,-228,-581,120,1001.13,39.10
89736,-7,0,-994,-980,1750,-70,-233,-580,101,1001.13,39.10
89745,-19,-7,-1001,-1400,980,210,-240,-584,109,1001.14,39.10
89776,-19,-7,-986,-2800,-1330,420,-235,-581,109,1001.14,39.10
89785,-19,-7,-994,-2870,-1470,350,-229,-583,120,1001.23,39.10
89816,-11,-7,-1001,-2100,-560,280,-236,-576,109,1001.23,39.10
89825,-11,-11,-1017,-1610,70,280,-243,-565,115,1001.21,39.10
89856,-22,-3,-994,-840,2170,140,-225,-580,116,1001.21,39.10
89865,-15,-11,-990,-1050,2380,0,-240,-577,107,1001.17,39.10
